# Accumulated photometry of sn2015V 
# Photometry is in the natural system NOT Landolt 
# MJD          Mag       Err       LimMag    Passband  Telescope Filename  
57298.14       17.56     0.11      nan       I         kait4     unk       
57298.14       18.10     0.07      nan       clear     kait4     unk       
57317.12       18.93     0.31      nan       V         kait4     unk       
57317.12       18.05     0.12      nan       R         kait4     unk       
57317.12       17.73     0.17      nan       I         kait4     unk       
57317.12       18.10     0.11      nan       clear     kait4     unk       
57319.11       18.15     0.18      nan       R         kait4     unk       
57319.11       17.90     0.24      nan       I         kait4     unk       
57319.11       18.13     0.05      nan       clear     kait4     unk       
57320.11       18.02     0.45      nan       R         kait4     unk       
57320.11       17.60     0.43      nan       I         kait4     unk       
57320.11       18.31     0.11      nan       clear     kait4     unk       
57321.11       18.14     0.23      nan       R         kait4     unk       
57321.11       17.72     0.25      nan       I         kait4     unk       
57321.11       18.12     0.09      nan       clear     kait4     unk       
57325.14       18.24     0.19      nan       R         kait4     unk       
57325.14       17.74     0.18      nan       I         kait4     unk       
57325.14       18.26     0.09      nan       clear     kait4     unk       
57331.11       19.04     0.37      nan       V         kait4     unk       
57331.11       18.15     0.16      nan       R         kait4     unk       
57331.11       17.65     0.18      nan       I         kait4     unk       
57331.11       18.25     0.09      nan       clear     kait4     unk       
57334.12       19.12     0.28      nan       V         kait4     unk       
57334.12       18.31     0.15      nan       R         kait4     unk       
57334.12       18.28     0.08      nan       clear     kait4     unk       
57340.11       19.25     0.35      nan       V         kait4     unk       
57130.49       16.26     0.02      nan       B         nickel2   unk       
57130.49       16.04     0.01      nan       V         nickel2   unk       
57130.49       15.56     0.01      nan       I         nickel2   unk       
57182.32       17.22     0.01      nan       B         nickel2   unk       
57182.32       16.16     0.01      nan       V         nickel2   unk       
57182.32       15.75     0.01      nan       R         nickel2   unk       
57182.32       15.42     0.01      nan       I         nickel2   unk       
57185.34       17.25     0.01      nan       B         nickel2   unk       
57185.34       15.70     0.06      nan       R         nickel2   unk       
57185.34       15.34     0.01      nan       I         nickel2   unk       
57189.33       17.25     0.05      nan       B         nickel2   unk       
57189.33       16.14     0.01      nan       V         nickel2   unk       
57189.33       15.74     0.01      nan       R         nickel2   unk       
57189.33       15.44     0.01      nan       I         nickel2   unk       
57199.38       17.43     0.01      nan       B         nickel2   unk       
57199.38       16.28     0.01      nan       V         nickel2   unk       
57199.38       15.81     0.01      nan       R         nickel2   unk       
57199.38       15.44     0.01      nan       I         nickel2   unk       
57203.30       17.58     0.04      nan       B         nickel2   unk       
57203.30       16.32     0.01      nan       V         nickel2   unk       
57203.30       15.82     0.01      nan       R         nickel2   unk       
57203.30       15.42     0.01      nan       I         nickel2   unk       
57226.28       18.49     0.07      nan       B         nickel2   unk       
57226.28       17.02     0.03      nan       V         nickel2   unk       
