# archfnmbase            ra         dec        mjd          filt  airm  object       expt  seqid                     class                type   moonsep moonill medpixval  
c4d_210509_004624_ori    149.220000   1.750000 59343.032227 i      1.24 COSMOS-2     130.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL    130.90   0.069          0 
c4d_210415_005603_ori    149.220000   1.750000 59319.038925 g      1.18 COSMOS-2      10.0 COSMOS-DDF-SEQ-C          NONE                 None     94.26   0.076          0 
c4d_210514_235240_ori    150.780000   1.750000 59348.994913 g      1.19 COSMOS-3      60.0 COSMOS-DDF-SEQ-C          COSMOS               EGAL     64.86   0.090          0 
c4d_210611_001223_ori    150.780000   1.750000 59376.008603 r      1.56 COSMOS-3      70.0 COSMOS-AGN-1              COSMOS-AGN           EGAL     67.49   0.003          0 
c4d_210503_023234_ori    150.000000   3.100000 59337.105950 r      1.53 COSMOS-1      86.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    150.87   0.579          0 
c4d_210503_082129_ori    270.889996 -29.530000 59337.348253 g      1.00 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS               GAL      36.55   0.552       2705 
c4d_210602_073513_ori    270.889996 -29.530000 59367.316124 g      1.06 DECaPS-East   96.0 DECaPSEast-DDF-A          DECaPS               GAL      71.35   0.500          0 
c4d_210328_014131_ori    150.000000   3.100000 59301.070502 i      1.21 COSMOS-1      30.0 COSMOS-DDF-SEQ-A          COSMOS-MOON          EGAL     30.21   0.991       3272 
c4d_210512_030248_ori    150.780000   1.750000 59346.126944 i      2.01 COSMOS-3     130.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL     97.26   0.001          0 
c4d_210409_025043_ori    150.000000   3.100000 59313.118564 i      1.27 COSMOS-1     130.0 COSMOS-DDF-SEQ-B          COSMOS               EGAL    160.20   0.085          0 
